u_id,alertness_morning_mean,happiness_morning_mean,energymorning_mean,healthmorning_mean,relaxmorning_mean,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17
2001,44.15,38.05,52.25,65.84,62.36,4.0,1.0,3.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,4.0,2.0,3.0
2002,27.75,39.63,33.48,35.78,33.45,3.0,1.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0
2003,49.59,41.99,18.21,53.97,68.17,4.0,1.0,3.0,4.0,1.0,2.0,5.0,5.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0
2004,51.9,57.68,50.29,47.07,62.03,4.0,2.0,4.0,3.0,2.0,1.0,4.0,5.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0
2005,16.64,53.75,35.84,49.17,41.69,3.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,2.0,5.0,1.0,2.0,2.0,3.0,1.0,5.0,3.0
2006,24.55,59.82,41.16,67.0,49.99,5.0,3.0,2.0,2.0,1.0,4.0,5.0,4.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,5.0,2.0
2007,41.99,47.44,38.53,60.77,59.55,4.0,3.0,1.0,3.0,2.0,2.0,3.0,5.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0
2008,36.58,53.93,44.83,71.49,56.8,2.0,1.0,4.0,3.0,4.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0
2009,40.23,59.1,60.96,51.49,52.32,3.0,3.0,1.0,1.0,3.0,1.0,4.0,5.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,3.0
2010,30.03,48.75,48.81,44.23,54.78,3.0,1.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0,1.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0
2011,51.16,57.23,44.59,50.56,52.85,2.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0
2012,49.92,44.85,32.86,56.81,58.1,2.0,3.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0
2013,41.24,48.15,24.32,55.93,75.24,5.0,4.0,3.0,2.0,4.0,1.0,1.0,5.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0
2014,54.18,47.95,40.21,39.02,22.77,3.0,3.0,4.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0
2015,46.13,38.93,45.99,54.77,53.04,3.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0
2016,29.95,57.57,70.35,56.62,58.41,4.0,3.0,4.0,1.0,2.0,2.0,5.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,3.0
2017,44.93,46.98,48.45,87.31,59.97,4.0,1.0,4.0,4.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,3.0
2018,28.74,52.31,59.85,78.72,51.29,5.0,4.0,3.0,3.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,5.0,2.0,2.0,1.0,4.0,4.0
2019,51.15,57.5,40.03,42.12,33.29,4.0,3.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0
2020,39.82,57.12,30.87,49.71,60.38,3.0,1.0,3.0,3.0,1.0,1.0,5.0,4.0,2.0,5.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0
2021,38.18,59.54,33.81,33.94,78.57,3.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0
2022,32.13,51.08,37.01,45.64,36.19,5.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0
2023,55.34,47.49,75.17,57.79,67.34,4.0,4.0,5.0,3.0,3.0,1.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0
2024,38.55,51.29,35.73,69.73,51.85,5.0,2.0,5.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0
2025,35.21,33.49,57.92,43.78,55.32,1.0,3.0,4.0,5.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,5.0,2.0
2026,36.14,36.15,34.64,44.79,42.44,5.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0
2027,46.93,37.53,59.16,24.77,51.77,4.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
2028,44.89,41.13,51.86,51.38,73.01,2.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0
2029,45.47,56.6,44.62,39.31,63.69,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,2.0,5.0,1.0,5.0,2.0,2.0,1.0,3.0,3.0
2030,45.69,42.15,46.16,46.46,78.63,4.0,1.0,4.0,3.0,3.0,1.0,5.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0
2031,66.55,47.99,37.96,41.8,71.42,1.0,3.0,1.0,5.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0
2032,35.48,66.56,52.67,52.29,61.83,3.0,3.0,2.0,4.0,2.0,2.0,5.0,4.0,3.0,1.0,1.0,5.0,1.0,4.0,1.0,4.0,2.0
2033,34.18,48.23,40.63,29.99,78.78,5.0,3.0,3.0,4.0,4.0,1.0,5.0,4.0,3.0,5.0,1.0,5.0,2.0,2.0,2.0,5.0,2.0
2034,30.51,60.34,30.32,33.89,61.82,3.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0
2035,47.95,41.84,29.62,82.11,66.88,3.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,1.0,4.0,2.0
2036,54.2,49.9,49.02,36.3,52.27,3.0,2.0,4.0,3.0,1.0,3.0,4.0,5.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0
2037,39.04,41.66,67.82,38.85,56.99,3.0,2.0,5.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0,2.0
2038,30.18,48.42,48.85,78.19,47.06,5.0,2.0,3.0,3.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0
2039,30.38,61.48,45.12,92.51,68.98,4.0,1.0,4.0,5.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,3.0
2040,48.37,33.05,50.53,37.85,40.81,1.0,1.0,5.0,5.0,2.0,2.0,5.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,5.0,3.0
2041,49.5,56.98,64.17,48.62,66.29,5.0,1.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0
2042,47.06,54.81,49.64,58.14,53.64,5.0,1.0,3.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0
2043,32.32,45.6,41.22,76.73,71.34,2.0,2.0,3.0,3.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0
